"""The calmodulin regulator protein, PEP-19, sensitizes ATP-induced Ca2+ release.",calmodulin: protein; PEP-19: protein; ATP: molecule; Ca2+: ion
"PEP-19 is a small, intrinsically disordered protein that binds to the C-domain of calmodulin (CaM) via an IQ motif and tunes its Ca(2+) binding properties via an acidic sequence. We show here that the acidic sequence of PEP-19 has intrinsic Ca(2+) binding activity, which may modulate Ca(2+) binding to CaM by stabilizing an initial Ca(2+)-CaM complex or by electrostatically steering Ca(2+) to and from CaM. Because PEP-19 is expressed in cells that exhibit highly active Ca(2+) dynamics, we tested the hypothesis that it influences ligand-dependent Ca(2+) release. We show that PEP-19 increases the sensitivity of HeLa cells to ATP-induced Ca(2+) release to greatly increase the percentage of cells responding to sub-saturating doses of ATP and increases the frequency of Ca(2+) oscillations. Mutations in the acidic sequence of PEP-19 that inhibit or prevent it from modulating Ca(2+) binding to CaM greatly inhibit its effect on ATP-induced Ca(2+) release. Thus, this cellular effect of PEP-19 does not depend simply on binding to CaM via the IQ motif but requires its acidic metal binding domain. Tuning the activities of Ca(2+) mobilization pathways places PEP-19 at the top of CaM signaling cascades, with great potential to exert broad effects on downstream CaM targets, thus expanding the biological significance of this small regulator of CaM signaling.""",PEP-19: protein; protein: biological molecule; C-domain: protein domain; calmodulin: protein; CaM: protein; IQmotif: protein motif; sequence: biological sequence; Ca2+: chemical ion; HeLacells: cell line; ATP: nucleotide; oscillations: biological process; mutations: genetic variation; domain: none; pathways: biological pathway; cascades: signaling cascade; targets: biological target; regulator: none
"""Cynaropicrin from Cynara scolymus L. suppresses photoaging of skin by inhibiting the transcription activity of nuclear factor-kappa B.",Cynaropicrin: chemical compound; Cynarascolymus: plant species; photoaging: biological process; skin: anatomical structure; nuclearfactor-kappaB: protein complex
"Aging of skin is characterized by skin wrinkling, laxity, and pigmentation induced by several environmental stress factors. Histological changes during the photoaging of skin include hyperproliferation of keratinocytes and melanocytes causing skin wrinkles and pigmentation. Nuclear factor kappa B (NF-κB) is one of the representative transcription factors active in conjunction with inflammation. NF-κB is activated by stimulation such as ultraviolet rays and inflammatory cytokines and induces the expression of various genes such as those of basic fibroblast growth factor (bFGF) and matrix metalloprotease-1 (MMP-1). We screened several plant extracts for their possible inhibitory effect on the transcriptional activity of NF-κB. One of them, an extract from Cynara scolymus L., showed a greatest effect on the suppression of NF-κB transactivation. As a result, we found that cynaropicrin, which is a sesquiterpene lactone, inhibited the NF-κB-mediated transactivation of bFGF and MMP-1. Furthermore, it was confirmed that in an in vivo mouse model cynaropicrin prevented skin photoaging processes leading to the hyperproliferation of keratinocytes and melanocytes. These findings taken together indicate that cynaropicrin is an effective antiphotoaging agent that acts by inhibiting NF-κB-mediated transactivation.""",skin: biological structure; photoaging: biological process; keratinocytes: cell type; melanocytes: cell type; NuclearfactorkappaB: protein complex; NF-κB: protein complex; ultravioletrays: environmental factor; cytokines: signaling molecules; genes: genetic material; basicfibroblastgrowthfactor: protein; bFGF: protein; matrixmetalloprotease-1: enzyme; MMP-1: enzyme; plantextracts: natural product; CynarascolymusL: plant species; cynaropicrin: chemical compound; sesquiterpenelactone: chemical compound; mousemodel: experimental model; antiphotoagingagent: therapeutic agent
"""Thalidomide inhibits growth of tumors through COX-2 degradation independent of antiangiogenesis.",Thalidomide: pharmaceutical compound; tumors: medical condition; COX-2: enzyme; antiangiogenesis: biological process
"Thalidomide is an antiangiogenic drug and is clinically useful in a number of cancers. However, the molecular mechanism by which thalidomide exerts its antitumor effects is poorly understood. This study was designed to clarify the relationship between antiangiogenesis and antitumor effects of thalidomide and to explore the molecular mechanism for its antitumor activity. We evaluated the effects of thalidomide on the growth of human tumor cells expressing (MCF-7 and HL-60) or not expressing (HeLa and K562) COX-2 in vitro. We also studied the effects of thalidomide on COX-1, COX-2 or bcl-2 expression, TNFalpha, VEGF, GSH and cytochrome c in these cells. Thalidomide could inhibit tumor growth in a concentration-dependent manner in MCF-7 and HL-60; its IC50s for them were 18.36+/-2.34 and 22.14+/-2.15 microM, respectively, while this effect was not observed in HeLa and K562. Thalidomide reduced COX-2 expression accompanied by a decrease of bcl-2 protein, TNFalpha, VEGF, GSH and an increased cytochrome c, but had no effect on that of COX-1, in MCF-7 and HL-60. Moreover, cells not expressing COX-2 were insensitive to the growth-inhibitory and effects on cytokines of thalidomide. In our mouse xenograft model of OVCAR-3 and HCT-8, we found that thalidomide could decrease intratumoral microvessel density in both tumors; it exerted antitumor effects only on OVCAR-3 expressing COX-2 but did not on HCT-8 not expressing COX-2. Effect of thalidomide on COX-1 and COX-2 in vivo was consistent with that of in vitro. These results demonstrated that thalidomide might inhibit growth of tumors through COX-2 degradation independent of antiangiogenesis.""",Thalidomide: pharmaceutical drug; antiangiogenic: biological process; drug: general term; cancers: medical condition; molecular: none; mechanism: scientific concept; antitumor: biological process; effects: scientific concept; study: scientific research; relationship: scientific concept; antiangiogenesis: biological process; activity: scientific concept; growth: biological process; human: species; tumor: medical condition; cells: biological entity; MCF-7: cell line; HL-60: cell line; HeLa: cell line; K562: cell line; COX-2: protein; vitro: none; COX-1: protein; bcl-2: protein; expression: biological process; TNFalpha: protein; VEGF: protein; GSH: molecule; cytochrome: protein; concentration-dependent: none; manner: none; IC50s: scientific measurement; microM: scientific measurement; protein: biological entity; mouse: species; xenograft: scientific model; model: scientific concept; OVCAR-3: cell line; HCT-8: cell line; intratumoral: none; microvessel: biological structure; density: scientific measurement; tumors: medical condition; degradation: biological process
"""Synthesis, structure-activity relationships, and in vivo efficacy of the novel potent and selective anaplastic lymphoma kinase (ALK) inhibitor 5-chloro-N2-(2-isopropoxy-5-methyl-4-(piperidin-4-yl)phenyl)-N4-(2-(isopropylsulf onyl)phenyl)pyrimidine-2,4-diamine (LDK378) currently in phase 1 and phase 2 clinical trials.","Synthesis: scientific process; structure-activity: scientific concept; relationships: scientific concept; efficacy: scientific concept; anaplasticlymphomakinase: protein; ALK: protein; inhibitor: chemical compound; 5-chloro-N2-()phenyl)-N4-()phenyl)pyrimidine-2,4-diamine: chemical compound; LDK378: drug; phase1: clinical trial phase; phase2: clinical trial phase; clinicaltrials: scientific study"
"The synthesis, preclinical profile, and in vivo efficacy in rat xenograft models of the novel and selective anaplastic lymphoma kinase inhibitor 15b (LDK378) are described. In this initial report, preliminary structure-activity relationships (SARs) are described as well as the rational design strategy employed to overcome the development deficiencies of the first generation ALK inhibitor 4 (TAE684). Compound 15b is currently in phase 1 and phase 2 clinical trials with substantial antitumor activity being observed in ALK-positive cancer patients.""",synthesis: process; preclinical: phase; profile: characteristic; efficacy: characteristic; rat: animal; xenograft: model; models: none; anaplasticlymphomakinase: protein; inhibitor: compound; LDK378: compound; report: document; structure-activityrelationships: concept; SARs: concept; design: process; strategy: concept; development: process; deficiencies: characteristic; generation: phase; ALKinhibitor: compound; TAE684: compound; Compound15b: compound; phase1: phase; phase2: phase; clinicaltrials: process; antitumor: activity; activity: none; ALK-positive: characteristic; cancer: disease; patients: group
"""Coenzyme Q10 protects Pc12 cells from cisplatin-induced DNA damage and neurotoxicity.",CoenzymeQ10: biochemical compound; Pc12: cell line; cisplatin: chemical compound; DNA: biological molecule; neurotoxicity: medical condition
"The purpose of this study was to investigate the neuroprotective effect of a water-soluble formulation of coenzyme Q10 (WS-CoQ10) in PC12 cells exposed to cisplatin, a chemotherapeutic agent with a dose-limiting factor due to neurotoxicity. In the cytokinesis-block micronucleus cytome assay (CBMN Cyt), WS-CoQ10 (at concentrations of 0.1, 0.5 and 1.0μgmL(-1)) protected PC12 cells from cisplatin-induced DNA damage (0.1μgmL(-1)), reducing the frequency of micronuclei (MNi) and nuclear buds (NBUDs). WS-CoQ10 did not alter the mRNA expression levels of Tp53 (at a concentration of 1.0μgmL(-1)) and exhibited neuroprotective activity by stimulating cisplatin-inhibited neurite outgrowth in nerve growth factor (NGF)-differentiated PC12 cells (at a concentration of 0.1μgmL(-1)). In conclusion, WS-CoQ10 protected the PC12 cells from cisplatin-induced DNA damage and neurotoxicity. Moreover, the neuroprotective effects of WS-CoQ10 suggest a possible application in chemotherapeutic protocols.""",study: research activity; neuroprotective: biological property; formulation: pharmaceutical preparation; coenzymeQ10: biochemical compound; WS-CoQ10: biochemical compound; PC12: cell line; cells: biological structure; cisplatin: chemotherapeutic drug; chemotherapeutic: medical treatment; agent: none; neurotoxicity: medical condition; cytokinesis-blockmicronucleocytomeassay: scientific method; CBMNCyt: scientific method; DNA: biological molecule; damage: none; frequency: none; micronuclei: cellular structure; MNi: cellular structure; nuclearbuds: cellular structure; NBUDs: cellular structure; mRNA: biological molecule; expression: none; levels: none; Tp53: gene; activity: none; neurite: cellular structure; outgrowth: biological process; nervegrowthfactor: protein; NGF: protein; protocols: procedural guideline
"""Rosmarinic acid ameliorates acute liver damage and fibrogenesis in carbon tetrachloride-intoxicated mice.",Rosmarinicacid: chemical compound; acuteliverdamage: medical condition; fibrogenesis: biological process; carbontetrachloride: chemical compound; mice: biological organism
"The aim of this study was to investigate the therapeutic potential of rosmarinic acid (RA), a natural phenolic, in the treatment of acute liver toxicity. RA at 10, 25 and 50mg/kg was administered by gavage once daily for 2 consecutive days, 6h after CCl(4) intoxication. CCl(4) intoxication caused hepatic necrosis and increased serum ALT activity. In the livers, oxidative/nitrosative stress was evidenced by increased 3-nitrotyrosine (3-NT) and thiobarbituric acid reactive substances (TBARS) formation and a significant decrease in Cu/Zn superoxide dismutase (SOD) activity. CCl(4) administration triggered inflammatory response in mice livers by activating nuclear factor-kappaB (NF-κB), which coincided with the induction of tumor necrosis factor-alpha (TNF-α) and cyclooxygenase-2 (COX-2). RA improved histological and serum markers of liver damage and significantly ameliorated oxidative/nitrosative stress and inflammatory response in liver tissue. Additionally, RA prevented transforming growth factor-beta1 (TGF-β1) and alpha-smooth muscle actin (α-SMA) expression, suggesting suppression of profibrotic response. Furthermore, RA significantly inhibited the CCl(4)-induced apoptosis, which was evident from decreased cleavage of caspase-3. The hepatoprotective activity of RA coincided with enhanced NF-E2-related factor 2 (Nrf2) and heme oxygenase-1 (HO-1) expression. The results of this study indicates that RA possesses antioxidant, anti-inflammatory, antiapoptotic and antifibrotic activity against acute liver toxicity.""",rosmarinicacid: chemical compound; RA: chemical compound; acutelivertoxicity: medical condition; CCl4: chemical compound; hepaticnecrosis: medical condition; ALT: enzyme; 3-nitrotyrosine: chemical compound; 3-NT: chemical compound; thiobarbituricacidreactivesubstances: chemical compound; TBARS: chemical compound; Cu/Znsuperoxidedismutase: enzyme; SOD: enzyme; nuclearfactor-kappaB: protein complex; NF-κB: protein complex; tumornecrosisfactor-alpha: cytokine; TNF-α: cytokine; cyclooxygenase-2: enzyme; COX-2: enzyme; transforminggrowthfactor-beta1: cytokine; TGF-β1: cytokine; alpha-smoothmuscleactin: protein; α-SMA: protein; caspase-3: enzyme; NF-E2-relatedfactor2: transcription factor; Nrf2: transcription factor; hemeoxygenase-1: enzyme; HO-1: enzyme
"""Exploring the mechanism of agonist efficacy: a relationship between efficacy and agonist dissociation rate at the muscarinic M3 receptor.",mechanism: scientific concept; agonist: biochemical substance; efficacy: scientific concept; relationship: scientific concept; agonistdissociationrate: scientific concept; muscarinicM3receptor: biological structure
"Although there are several empirical approaches that enable the comparison of relative agonist efficacy, the molecular basis that underlies differences in the ability of G protein-coupled receptor agonists to elicit a response is still largely unexplained. Several models have been described that incorporate the kinetics of receptor-mediated initiation of the G protein cycle, but these have not directly addressed the influence of agonist-binding kinetics. To test this, we investigated the relationship between the efficacy of seven M(3) muscarinic receptor agonists and their rate of dissociation (k(off)) from the M(3) receptor. The association and dissociation rate constants of the agonists were determined using a l-[N-methyl]-[(3)H]scopolamine methyl chloride competition binding assay in the presence of GTP. The agonists displayed a range of association and dissociation rates. Relative agonist efficacy was measured at two points after M(3) receptor activation: the stimulation of guanosine 5'-O-(3-[(35)S]thio)triphosphate binding to G alpha subunits, and the subsequent increase in intracellular calcium levels. These experiments revealed a range of intrinsic efficacy, from the low-efficacy pilocarpine and oxotremorine to high-efficacy acetylcholine. There was no relationship between agonist efficacy and the equilibrium binding affinity of each agonist (K(d)). When efficacy was compared with the dissociation rate constant, however, the two were highly correlated, suggesting a relationship between the duration of agonist binding at the receptor and the intrinsic efficacy. These data suggest that kinetic models incorporating the mean lifetime of specific complexes will be required to fully explain the nature of agonist efficacy.""",agonist: chemical compound; efficacy: scientific concept; Gprotein-coupledreceptor: biological structure; agonists: chemical compound; response: scientific concept; models: scientific concept; kinetics: scientific concept; receptor-mediatedinitiation: biological process; Gproteincycle: biological process; agonist-bindingkinetics: scientific concept; relationship: scientific concept; M3muscarinicreceptor: biological structure; rate: scientific concept; dissociation: scientific concept; koff: scientific concept; association: scientific concept; constants: scientific concept; l-[N-methyl]-[()H]scopolaminemethylchloridecompetitionbindingassay: scientific method; GTP: chemical compound; stimulation: biological process; guanosine5'-O-()S]thio)triphosphate: chemical compound; Galphasubunits: biological structure; increase: scientific concept; intracellularcalciumlevels: biological process; experiments: scientific method; intrinsic: scientific concept; pilocarpine: chemical compound; oxotremorine: chemical compound; acetylcholine: chemical compound; equilibrium: scientific concept; affinity: scientific concept; Kd: scientific concept; duration: scientific concept; binding: scientific concept; data: scientific concept; kineticmodels: scientific concept; meanlifetime: scientific concept; complexes: scientific concept; nature: scientific concept
"""The endocrine disrupting chemical tolylfluanid alters adipocyte metabolism via glucocorticoid receptor activation.",tolylfluanid: chemical compound; adipocyte: cell type; metabolism: biological process; glucocorticoid: hormone; receptor: protein; activation: biological process
