concept,synonyms,description
entity,"abstract entity, business entity, financial entity, legal entity, organizational entity","The root class for all entities in the knowledge graph."
organization,"company, issuer, bank, broker, institution","A company or institution (the filing company)."
government,"government, public body, state authority","A government body referenced in the text."
regulator,"regulator, supervisory body, authority","A regulatory body that oversees entities or markets."
location,"country, region, city, jurisdiction","A geopolitical or geographic location."
person,"executive, director, officer, analyst, investor","A person referenced in the filing (management, analyst, etc.)."
external company,"competitor, supplier, customer, partner, external firm","A non-filer company referenced by the filing company."
product,"product, service, offering, solution","A product or service mentioned in the filing."
event,"material event, incident, merger event, disruption","A material event affecting company or market."
sector,"industry, sector, industry group","An industry or sector classification."
economic trend,"economic indicator, macro condition, macro trend, inflation, gdp, unemployment, interest rate","A macroeconomic trend, indicator, or condition."
instrument,"stock, bond, derivative, option, asset, liability","A financial instrument or financial asset/liability."
market,"market index, market dynamics, benchmark","A market index or market-wide construct."
concept,"theme, abstract concept, technology concept","An abstract concept or theme (e.g., AI)."
raw material,"commodity, input material","A raw material or commodity input."
logistics,"supply chain node, port, route, logistics","A supply-chain or logistics entity."
policy rule,"accounting policy, regulation, regulatory requirement, legal framework","An accounting policy, regulation, or related rule."
risk factor,"risk, uncertainty, threat","A risk factor described in the filing."
litigation,"lawsuit, investigation, legal proceeding","A litigation or legal proceeding."
segment,"business segment, division, unit","A business segment of the filing company."
metric,"financial metric, reported value, kpi","A financial metric (e.g., revenue, net income)."
esg topic,"esg theme, sustainability topic","An ESG topic or theme."
commentary,"management commentary, guidance text, narrative","Management commentary or guidance statements."
