The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'collaboration', 'interface'): (collections.reverse(), reverse the elements in, list)""]"
Here is an example of finding the minimum element in a Java List using Collections min() method:,"[""('class', 'collaboration', 'class'): (list, use, collections)"", ""('class', 'collaboration', 'method'): (collections, provide, min())"", ""('class', 'collaboration', 'method'): (list, use, min())""]"
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.","[""('method', 'dependency', 'class'): (compareto(), should throw, nullpointerexception)""]"
The LinkedList class is a pretty standard Deque and Queue implementation.,[]
You add elements to the beginning end of a Deque using the add() method.,[]
"If the element cannot be inserted into the Deque, the add() method will throw an exception.",[]
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.","[""('method', 'collaboration', 'interface'): (addlast(), use or provision, deque)""]"
To peek at the last element of a Java Deque you can use the getLast() method.,"[""('class', 'collaboration', 'method'): (deque, use the getlast() method, getlast())""]"
The remove() method removes the first element of a Java Deque.,"[""('method', 'modification', 'class'): (remove(), removes, deque)""]"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","[""('method', 'collaboration', 'class'): (pollfirst(), removes an element from the beginning, deque)"", ""('method', 'similarity', 'method'): (pollfirst(), just like, poll())""]"
Here is an example of removing the last element from a Java Deque using the pollLast() method:,[]
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,"[""('class', 'collaboration', 'method'): (deque, uses the method, size())""]"
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.","[""('interface', 'collaboration', 'class'): (iterator, return type set to, string)""]"
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.",[]
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.","[""('method', 'collaboration', 'class'): (hashcode(), use, hashtable)"", ""('method', 'collaboration', 'class'): (equals(), use, hashtable)""]"
"Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.",[]
Here is an example of iterating the elements of an Iterable via its forEach() method:,[]
"The reason the for-each loop is slower is, that each iteration will call the List iterator() method, which will create a new Iterator object.","[""('class', 'collaboration', 'class'): (list, use the list iterator() method, iterator)"", ""('class', 'creation', 'class'): (iterator, create a new object, iterator)""]"
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.",[]
The first three add() calls add a String instance to the end of the list.,"[""('method', 'collaboration', 'class'): (add(), use, string)""]"
"The addAll() method takes a Collection as parameter, so you can pass either a List or Java Set as parameter.","[""('method', 'collaboration', 'interface'): (addall(), takes a collection as parameter, collection)"", ""('method', 'collaboration', 'interface'): (addall(), can pass either a list or java set as parameter, list)"", ""('method', 'collaboration', 'interface'): (addall(), can pass either a list or java set as parameter, set)""]"
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).","[""('method', 'containment', 'class'): (get(), returns, object)""]"
"This example creates a Map and stores three values in it using the keys A, B and C. Then the example calls the Map getOrDefault() method, passing the String E as key, along with a default value - the String default value.","[""('class', 'collaboration', 'method'): (map, use the method, getordefault())""]"
Since the Map does not contain any object stored by the key E the given default value will be returned - which is the String default value passed as the last parameter to the getOrDefault() method.,"[""('class', 'collaboration', 'class'): (map, getordefault, string)""]"
"As you can see, the key Iterator returns every key stored in a Java Map, one by one (one for each call to next()).","[""('interface', 'containment', 'interface'): (iterator, returns every key stored in, map)""]"
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,[]
The isEmpty() method will return false if the Map instance contains 1 or more entries.,"[""('class', 'containment', 'method'): (map, contains, isempty())""]"
Here is an example of creating an instance of the Java TreeMap class which implements the NavigableMap interface:,[]
"The tailMap variable will reference a SortedMap containing all key + value pairs from the NavigableMap for the keys ""c"", ""d"" and ""e"", as these keys are considered equal to or larger than the parameter value ""c"" passed to the tailMap() method.","[""('interface', 'containment', 'interface'): (sortedmap, includes, navigablemap)""]"
The lowerEntry() method in the NavigableMap interface returns the key + value pair for the highest key which is lower than the parameter value passed to the lowerEntry() method.,[]
"The pollFirstEntry() method returns and removes the ""first"" entry (key + value) in the NavigableMap or null if the map is empty.","[""('method', 'collaboration', 'interface'): (pollfirstentry(), returns and removes, navigablemap)""]"
"The descendingIterator() method allows you to iterate the elements of the NavigableSet (which is also a SortedSet) in reverse order, without changing the order of the elements internally.","[""('method', 'collaboration', 'interface'): (descendingiterator(), iterate the elements, navigableset)"", ""('method', 'collaboration', 'interface'): (descendingiterator(), iterate the elements, sortedset)""]"
"To get properties from a Java Properties object you use the getProperty() method, passing the key of the property to get as parameter.","[""('class', 'collaboration', 'method'): (properties, use, getproperty())""]"
"Using the InputStream you can load the file into a Java Properties instance, using either the load() or loadFromXML() methods explained earlier in this Java Properties tutorial.","[""('class', 'collaboration', 'class'): (inputstream, load the file into, properties)"", ""('class', 'collaboration', 'class'): (inputstream, load(), properties)"", ""('class', 'collaboration', 'class'): (inputstream, loadfromxml(), properties)""]"
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,[]
You can check if a Java Queue contains a certain element via its contains() method.,"[""('interface', 'containment', 'method'): (queue, includes, contains())""]"
The Java Set interface as a method called removeAll() which removes all elements in the Set which are also present in another Collection.,"[""('method', 'collaboration', 'interface'): (removeall, interacts_with, collection)""]"
You can check the size of a Java Set using the size() method.,"[""('class', 'collaboration', 'method'): (set, use, size())""]"
"You iterate the keys of a SortedMap by calling its keySet() method, like this:",[]
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,[]
Here is an example of obtaining a submap from a Java SortedMap via its subMap() method:,[]
The Java Collections API only has one implementation of the Java SortedSet interface - the java.util.TreeSet class.,[]
"Additionally, the Vector class uses several older (no longer recommended) parts of Java, like the Enumeration which is superseded by the Iterator interface.","[""('class', 'replacement', 'interface'): (enumeration, superseded by, iterator)""]"
You push elements onto a Java Stack using its push() method.,"[""('class', 'collaboration', 'method'): (stack, use of push method, push())""]"
Here is an example of obtaining the size of a Java Stack via its size() method:,[]
The lockWrite() method of a ReadWriteLock class shown below is an example of a test-and-set method.,"[""('class', 'collaboration', 'method'): (readwritelock, use, lockwrite())""]"
The BoundedSemaphore class shown below has two test-and-set methods: take() and release().,"[""('class', 'collaboration', 'method'): (boundedsemaphore, has test-and-set method, take)"", ""('class', 'collaboration', 'method'): (boundedsemaphore, has test-and-set method, release)""]"
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,"[""('class', 'implementation', 'method'): (atomicboolean, use, lock())""]"
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.","[""('interface', 'collaboration', 'class'): (runnable, creation of a runnable implementation, lambda expression)""]"
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.","[""('method', 'collaboration', 'method'): (addchild, use or provision of methods at the same time, setparent)""]"
"Here are the two classes used in the example above, Counter and CounterThread.","[""('class', 'collaboration', 'class'): (counter, use, counterthread)""]"
"The easiest way to create a subclass of ThreadLocal is to simply create an anonymous subclass, right where you create the ThreadLocal variable.","[""('class', 'creation', 'class'): (threadlocal, create an anonymous subclass, threadlocal)""]"
